labels,MNI_x,MNI_y,MNI_z,MNI_R,T1_x,T1_y,T1_z,T1_R,AR_Percentage,T1_AnatomicalRegion,AR_7,AR_8,AR_9,AR_10,AR_11,AR_12,AR_13,AR_14,AR_15,fs_coords_1,fs_coords_2,fs_coords_3
LGA1,-52.666667,48,16.666667,G,-49.639721,50.113274,29.732788,G,100.00%,rostralmiddlefrontal,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-37.8030967712402,36.1757545471191,14.6707019805908
LGA2,-54,40,23,G,-51.236485,41.961037,33.740902,G,100.00%,rostralmiddlefrontal,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-44.1604042053223,36.3293342590332,22.4990882873535
LGA3,-57,31,30,G,-52.031803,32.012592,36.353046,G,100.00%,rostralmiddlefrontal,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-46.4847259521484,31.5622673034668,30.1681003570557
LGA4,-59,22.666667,34.666667,G,-53.208832,24.012028,39.924484,G,100.00%,rostralmiddlefrontal,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-47.6267623901367,28.2427978515625,31.1156978607178
LGA5,-59.333333,13,39.333333,G,-53.301922,14.258825,42.75161,G,100.00%,precentral,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-57.2803153991699,6.57943868637085,33.6374435424805
LGA6,-60,4,44,G,-54.716408,5.168546,46.286152,G,100.00%,precentral,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-57.5190620422363,2.10592126846313,37.3456573486328
LGA7,-62,-7,48,G,-53.16209,-4.007544,48.620178,G,100.00%,precentral,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-56.3036918640137,-4.02083730697632,45.2791748046875
LGA8,-62,-16,51,G,-53.026482,-13.02279,51.825279,G,100.00%,postcentral,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-57.3478088378906,-22.2677249908447,48.5972480773926
LGA9,-57,46,8,G,-53.021477,49.298756,21.08987,G,100.00%,parstriangularis,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-52.3379745483398,33.4328384399414,2.62264466285706
LGA10,-59,38,13,G,-55.46468,40.160698,24.035292,G,100.00%,parstriangularis,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-54.7679634094238,29.5770473480225,3.47816586494446
LGA11,-62.666667,29,18.666667,G,-56.185547,30.728741,27.247787,G,100.00%,parsopercularis,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-54.5716934204102,22.6702365875244,19.9417610168457
LGA12,-64.5,20.5,25,G,-57.86364,22.199598,31.021269,G,100.00%,parsopercularis,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-57.2093315124512,16.7389812469482,18.9394702911377
